Timestamp_LSL,Pred_DoF_0,Pred_DoF_1,Pred_DoF_2,Pred_DoF_3,Pred_DoF_4,Pred_DoF_5,Pred_DoF_6,Pred_DoF_7,Pred_DoF_8,Pred_DoF_9,Pred_DoF_10,Pred_DoF_11,Pred_DoF_12,Pred_DoF_13,Pred_DoF_14,Pred_DoF_15,Pred_DoF_16,Pred_DoF_17,Pred_DoF_18,Pred_DoF_19,Pred_DoF_20,Pred_DoF_21,Pred_DoF_22,Pred_DoF_23
13564.247489291003,0.6257034062080317,0.5505231206960672,0.6333624776754758,0.61389427692596,0.6730437700366794,0.5698778664080891,0.6133165373966861,0.6233990878493082,0.7342609635172989,0.5494936305418645,0.6973532216701862,0.6040255900545327,0.7823307938179774,0.5638214798582253,0.7187410476444147,0.7659544569918972,0.7642128729030504,0.6764892806457221,0.5748381328850777,0.6023103873212375,0.7311259828070323,0.5687132483492001,0.6051806490722342,0.6654993477021298
13564.261437583002,0.6256254659961954,0.5501860251869769,0.6334632211621972,0.6138728873308271,0.6735617445996538,0.5698815715086379,0.6133139330178101,0.6230026527285882,0.7331183875268318,0.5501855001671049,0.6979283365468342,0.6035202723649303,0.7835928082352956,0.5635895631780816,0.7203452887979332,0.7695878187969393,0.7663963031222959,0.6772223388921846,0.5763752838524173,0.6036743712611929,0.733081985498121,0.565847570677238,0.606542486722699,0.6675274167027022
13564.275224958,0.6255345816016448,0.549840282822442,0.6335607343493331,0.6138236933889407,0.6740521287867733,0.5698833239397876,0.6133391659035712,0.6225591754792533,0.7318806136394831,0.5509431857940352,0.6984342638133042,0.6030402125935311,0.7846680687334376,0.5633665584293428,0.7218155076623499,0.7729929288651187,0.7684280326872805,0.6779753706519128,0.577886351824082,0.6050096779981514,0.7349361862368549,0.5628692307814452,0.6078984140677096,0.6695026616613766
13564.287724958003,0.6254306594521045,0.549486391236258,0.6336550677870019,0.6137462868152974,0.6745151679592134,0.5698793962970579,0.613393831440273,0.622070131465405,0.7305459913826402,0.551767369898528,0.698865967898847,0.6025853409314501,0.7855613711620489,0.5631525743823301,0.7231530399680774,0.7761629133987429,0.7703071570074519,0.6787611135370584,0.5793692537413176,0.6063172193152212,0.7366910608236975,0.5597666859924532,0.609248133088998,0.6714269179175189
13564.297530500002,0.6253138480109284,0.5491253832632949,0.6337463720458311,0.6136407199144095,0.6749512561927005,0.5698663429895419,0.6134792393666405,0.6215372253873079,0.729113149493037,0.552659139427782,0.6992193893332967,0.6021544485517206,0.7862784262695446,0.5629476186066036,0.724359596696351,0.7790920073674227,0.7720334227761498,0.6795925951093699,0.5808218541310813,0.6075976700071232,0.7383491590328518,0.5565279263753045,0.6105915491258441,0.6733019123560253
13564.310309250002,0.6251845829290384,0.5487587832613287,0.6338348377720737,0.6135073046922107,0.675361023519148,0.5698410453700524,0.613596394165273,0.6209623105900695,0.7275810984464993,0.5536202779510975,0.6994913455268398,0.601745324999121,0.7868257249070567,0.5627516317495237,0.7254373236003566,0.7817759306728237,0.7736071411496424,0.6804819175743233,0.5822421118946371,0.6088515600520797,0.7399131889789498,0.5531410989543727,0.6119287859290055,0.6751291699357442
13564.328074416,0.6250435751816352,0.5483884023674392,0.6339206752041594,0.6133464191893154,0.6757453751491512,0.5698006962013444,0.6137460102362258,0.6203473613201926,0.7259494376075358,0.554653480330861,0.6996795288059622,0.6013550312810387,0.7872103772505875,0.5625645299889014,0.726388803891638,0.784212249537581,0.7750291420084023,0.6814388506424481,0.5836281496451403,0.6100793869260439,0.7413860370957701,0.5495953532781233,0.6132601543805422,0.6769098359757546
13564.340574416005,0.6248917337728149,0.548016050831879,0.6340041163687622,0.6131584080591028,0.6761055076541914,0.5697427405512624,0.6139285826150832,0.6196944490544027,0.7242184722040492,0.5557622465277092,0.6997825068095959,0.6009802631736856,0.7874400268834719,0.5623862360894025,0.7272169843845776,0.7864005506477006,0.7763008668741828,0.6824698672723732,0.5849783313463528,0.6112816111472665,0.7427707365589654,0.545881526120903,0.6145860108782938,0.6786444309962212
13564.353064750005,0.6247300533757112,0.5476433027381777,0.6340854005095333,0.6129435821084599,0.6764429070594952,0.5696648199512859,0.6141444959117188,0.619005705358381,0.7223892409668888,0.5569502657790931,0.6997995697450172,0.6006176802935513,0.7875228318028885,0.5622166963200795,0.7279250818016123,0.7883422957027592,0.777424517224054,0.6835779368922128,0.5862913633537278,0.6124585760203132,0.7440704477716056,0.5419926040694791,0.6159065524841125,0.6803326802778954
13564.364538750002,0.6245594966096047,0.5472713913023267,0.6341647386119934,0.6127022484037257,0.6767593341092226,0.5695647628532083,0.6143940977039672,0.6182832739939808,0.7204635264032939,0.5582206913917458,0.6997304431378082,0.6002640024188935,0.7874674264522886,0.5620558974629124,0.7285165901905848,0.7900404991601012,0.7784031597873455,0.6847628385683148,0.587566330779076,0.6136104823382155,0.7452884411444876,0.5379240134907418,0.6172216618039037,0.6819735159546371
13564.376389416002,0.624380898945437,0.5469012181407393,0.6342422918712346,0.6124347036339283,0.6770568103315759,0.5694406303543665,0.6146776923175444,0.6175292548607647,0.7184438591832659,0.5595757379117112,0.6995750529973916,0.5999158766592076,0.78728283309359,0.5619038832292879,0.7289954175095306,0.7914994004421986,0.779240775241437,0.6860216966988927,0.5888026775674924,0.6147373781643493,0.74642798981477,0.5336735642320994,0.6185308760699246,0.6835652040111343
13564.388889416005,0.6241949172542172,0.5465334094264678,0.6343181839353129,0.6121411791594263,0.6773375795093438,0.5692907701096801,0.6149954870726286,0.6167456771297342,0.7163335442666788,0.5610166033134757,0.6993334679512683,0.5995697265028939,0.7869783583532872,0.5617607566958754,0.7293660097942889,0.7927241756202112,0.7799422498132487,0.6873496365325074,0.5900001954032804,0.6158391044999146,0.7474921894478286,0.5292410017676372,0.6198334836656384,0.6851054955068027
13564.401149250005,0.6240020265708421,0.5461683429564824,0.6343925184984993,0.6118217977264166,0.6776040251451346,0.5691138260243851,0.6153475577141325,0.6159345390152742,0.7141367164915495,0.5625436374666123,0.6990059899395473,0.5992217066498629,0.7865635271849952,0.5616266585795961,0.7296333717683148,0.7937207899499333,0.7805133426744977,0.6887404331071553,0.5911590204720203,0.6169152831621424,0.7484838657792303,0.5246276122920337,0.6211286987623508,0.6865917270575151
