Timestamp_LSL,DoF_0,DoF_1,DoF_2,DoF_3,DoF_4,DoF_5,DoF_6,DoF_7,DoF_8,DoF_9,DoF_10,DoF_11,DoF_12,DoF_13,DoF_14,DoF_15,DoF_16,DoF_17,DoF_18,DoF_19,DoF_20,DoF_21,DoF_22,DoF_23
47633.811,-21.394330628437924,28.647889756541158,24.351646829021877,-28.647889756541158,27.87696637981526,-28.64788975654116,1.488296594883987,-28.647889756541158,-11.459155902616462,0.0,2.166190737836458e-15,3.155362241198393e-16,-11.459155902616464,0.0,1.1035139878124084e-15,4.123893499882183e-16,-11.459155902616464,0.0,1.4861559432113356e-15,3.6901567163231515e-15,-11.459155902616464,0.0,9.170884937090012e-17,1.3631941375573285e-15
47633.84,-21.57952437759365,28.64788975654116,24.47804630980213,-28.64788975654116,27.93550110100227,-28.64788975654116,1.475578782649423,-28.64788975654116,-11.459155902616466,0.0,0.0,0.0,-11.459155902616466,0.0,0.0,0.0,-11.459155902616466,0.0,0.0,1.901094707999923e-15,-11.459155902616466,0.0,0.0,0.0
47633.874,-21.46914639415958,28.64788975654116,24.4509445266892,-28.647889756541158,27.963806614920042,-28.64788975654116,1.4676878671394076,-28.64788975654116,-11.459155902616466,0.0,8.74463082920156e-16,0.0,-11.459155902616466,0.0,0.0,1.748926165840312e-15,-11.45915590261646,0.0,0.0,8.557191016821948e-16,-11.459155902616464,0.0,0.0,1.8582340512053316e-15
47633.908,-21.3279159774862,28.647889756541154,24.46805331001034,-28.647889756541158,27.970387245848222,-28.64788975654116,1.4587888020010649,-28.647889756541158,-11.459155902616466,0.0,5.609409462458944e-16,0.0,-11.459155902616466,0.0,0.0,1.1218818924917888e-15,-11.459155902616462,0.0,0.0,5.489172636257817e-16,-11.459155902616464,0.0,0.0,3.03419678363819e-15
47633.942,-21.399943270400662,28.647889756541154,24.404995851404166,-28.647889756541158,27.982448117890296,-28.64788975654116,1.4540976070601372,-28.647889756541158,-11.459155902616466,0.0,4.0279937890209714e-16,0.0,-11.459155902616466,0.0,0.0,8.055987578041943e-16,-11.459155902616464,0.0,0.0,8.851678344627025e-16,-11.459155902616464,0.0,0.0,4.1550320197612596e-15
47633.974,-21.29477331581724,28.64788975654115,24.4694698064002,-28.647889756541158,27.98698677077087,-28.64788975654116,1.4468741724669647,-28.647889756541158,-11.459155902616466,0.0,2.872295490500051e-16,1.3688309216386172e-15,-11.459155902616466,0.0,2.7376618432772343e-15,1.0337372447439638e-15,-11.459155902616464,0.0,6.844154608193086e-16,6.311984855073168e-16,-11.459155902616464,0.0,0.0,3.128408828532297e-15
47634.007,-21.334149256578122,28.647889756541154,24.433020790324857,-28.647889756541158,28.002971301050064,-28.64788975654116,1.4429637806726099,-28.647889756541158,-11.459155902616464,0.0,1.237852403049984e-15,1.1311752081386224e-15,-11.459155902616466,0.0,3.212973270277224e-15,7.247677886890849e-16,-11.459155902616464,0.0,4.798533501668416e-16,4.4254217683560802e-16,-11.459155902616464,0.0,0.0,5.445552035157245e-15
47634.04,-21.266867626846235,28.647889756541158,24.462217975972003,-28.647889756541158,28.010688812168762,-28.64788975654116,1.436302646989736,-28.647889756541158,-11.459155902616464,0.0,2.2109761946408882e-15,1.3744561560363486e-15,-11.459155902616466,0.0,2.239849478686319e-15,5.030175440973011e-16,-11.459155902616464,0.0,3.3303722584632305e-16,2.2671492860685546e-15,-11.459155902616464,0.0,0.0,3.77942874080175e-15
47634.075,-21.266867626846235,28.647889756541158,24.462217975972003,-28.647889756541158,28.010688812168762,-28.64788975654116,1.436302646989736,-28.647889756541158,-11.459155902616464,0.0,2.2109761946408882e-15,1.3744561560363486e-15,-11.459155902616466,0.0,2.239849478686319e-15,5.030175440973011e-16,-11.459155902616464,0.0,3.3303722584632305e-16,2.2671492860685546e-15,-11.459155902616464,0.0,0.0,3.77942874080175e-15
47634.106,-21.307959150971385,28.647889756541158,24.406169023266507,-28.647889756541158,28.025957663333163,-28.64788975654116,1.4323542353693826,-28.647889756541158,-11.459155902616464,0.0,1.7378360922336338e-15,9.655272794404699e-16,-11.459155902616466,0.0,4.1324098883153375e-15,3.533595151290148e-16,-11.459155902616464,0.0,1.7524575330680867e-15,1.5926259070902551e-15,-11.459155902616464,0.0,0.0,2.8035772795867877e-15
47634.14,-21.307959150971385,28.647889756541158,24.406169023266507,-28.647889756541158,28.025957663333163,-28.64788975654116,1.4323542353693826,-28.647889756541158,-11.459155902616464,0.0,1.7378360922336338e-15,9.655272794404699e-16,-11.459155902616466,0.0,4.1324098883153375e-15,3.533595151290148e-16,-11.459155902616464,0.0,1.7524575330680867e-15,1.5926259070902551e-15,-11.459155902616464,0.0,0.0,2.8035772795867877e-15
47634.174,-21.516053606188684,28.647889756541158,24.26873699021671,-28.647889756541158,28.04158573080595,-28.64788975654116,1.4288668851309554,-28.647889756541158,-11.459155902616464,0.0,1.2477491656308765e-15,6.932390590226804e-16,-11.459155902616466,0.0,4.580883790916536e-15,1.250307320331411e-15,-11.459155902616464,0.0,1.2582472158687794e-15,1.143489685600813e-15,-11.459155902616464,0.0,1.1211847565029952e-16,2.0129408216455695e-15
47634.208,-21.687840846628145,28.64788975654116,24.320400601773926,-28.64788975654116,28.059302941670406,-28.64788975654116,1.4184820452510427,-28.64788975654116,-11.459155902616466,0.0,1.2477491656308765e-15,4.123505352312142e-15,-11.459155902616466,0.0,3.723317217594171e-15,5.760716151285063e-16,-11.459155902616466,0.0,5.797298744794562e-16,5.268560291978795e-16,-11.459155902616466,0.0,5.1657916660436857e-17,1.798549178314978e-15
47634.241,-21.665814178943513,28.64788975654116,24.398180942519545,-28.64788975654116,28.057894179306725,-28.64788975654116,1.4077386592797771,-28.64788975654116,-11.459155902616466,0.0,1.805814751154165e-15,2.6764706936986885e-15,-11.459155902616464,0.0,3.165251632070882e-15,8.551044078901507e-16,-11.459155902616466,0.0,3.762890760978036e-16,2.4103273803389786e-15,-11.459155902616466,0.0,1.9117431304125903e-16,1.2404835927916893e-15
47634.274,-21.6010263978209,28.64788975654116,24.418702256317697,-28.647889756541158,28.059689543249608,-28.64788975654116,1.3990375484175406,-28.64788975654116,-11.459155902616464,0.0,1.805814751154165e-15,3.181931083558517e-15,-11.459155902616464,0.0,3.670712021930711e-15,1.107834602820065e-15,-11.459155902616466,0.0,1.8926702456772895e-15,2.7262401240013714e-15,-11.459155902616466,0.0,2.543568617737376e-16,1.524805062087843e-15
47634.307,-21.679346597727548,28.64788975654116,24.341790912090808,-28.647889756541158,28.06271242311233,-28.64788975654116,1.3918461047606145,-28.64788975654116,-11.459155902616464,0.0,1.2988621256500093e-15,2.2886565569481404e-15,-11.459155902616464,0.0,2.640220330688249e-15,7.968283602555756e-16,-11.459155902616466,0.0,1.3613343765653292e-15,4.065572310730593e-15,-11.459155902616466,0.0,1.829503795701899e-16,1.0967412592457172e-15
47634.339,-21.570999957010688,28.64788975654116,24.42674772572123,-28.647889756541158,28.063886795722,-28.64788975654116,1.384155734818741,-28.64788975654116,-11.459155902616462,0.0,9.34845124617206e-16,1.6472413676050852e-15,-11.459155902616462,0.0,2.640220330688249e-15,1.2425169186881301e-15,-11.459155902616464,0.0,2.9212443310792703e-15,4.3441276597509395e-15,-11.459155902616466,0.0,1.3167700174679282e-16,1.180307863951821e-15
47634.372,-21.52046216235836,28.647889756541154,24.481610703674654,-28.647889756541158,28.07095302356591,-28.64788975654116,1.3781377693227528,-28.64788975654116,-11.459155902616457,0.0,6.66917528846694e-16,2.3309041048179223e-15,-11.45915590261646,0.0,1.883530407536128e-15,8.86410263198419e-16,-11.459155902616464,0.0,2.9212443310792703e-15,3.099096104311379e-15,-11.459155902616466,0.0,9.393823457855853e-17,8.420303889667207e-16
47634.406,-21.642242482436533,28.647889756541158,24.372984412099143,-28.647889756541158,28.074500102101396,-28.64788975654116,1.3713883741315376,-28.64788975654116,-11.459155902616459,0.0,1.112249736184966e-15,1.6781709975130287e-15,-11.459155902616459,0.0,1.4381982001978559e-15,2.222406885213235e-15,-11.45915590261646,0.0,3.5892426420866785e-15,4.490759252243479e-15,-11.459155902616466,0.0,5.949369678341146e-16,7.028640741735107e-16
47634.44,-21.47485486992693,28.647889756541158,24.458505515944545,-28.647889756541158,28.071539467701513,-28.64788975654116,1.3622744883371265,-28.64788975654116,-11.459155902616457,0.0,7.886798532434314e-16,2.140806173988879e-15,-11.45915590261646,0.0,3.288738906101258e-15,1.5758758838542732e-15,-11.459155902616462,0.0,2.545078922585813e-15,3.1843310299711108e-15,-11.459155902616466,0.0,4.2186101305801667e-16,1.2522433462385832e-15
47634.475,-21.66433195621779,28.647889756541154,24.303834862494345,-28.647889756541158,28.080583365813027,-28.64788975654116,1.3573170711252418,-28.64788975654116,-11.459155902616459,0.0,3.010933685172361e-15,1.542493590175694e-15,-11.459155902616462,0.0,5.510992738030188e-15,1.1354500371364774e-15,-11.459155902616464,0.0,1.8337801769625644e-15,5.684366590891156e-15,-11.459155902616466,0.0,3.0395928248588643e-16,1.7522504584225925e-15
47634.507,-21.6018861057955,28.647889756541154,24.3601990075516,-28.647889756541158,28.082669646617862,-28.64788975654116,1.350083734915567,-28.64788975654116,-11.45915590261646,0.0,2.16446384274534e-15,1.108849264945075e-15,-11.459155902616464,0.0,3.961676266017013e-15,2.9237615056401947e-15,-11.459155902616462,0.0,2.7279359112144232e-15,6.6344070585337555e-15,-11.459155902616464,0.0,6.392676828303333e-16,1.4169420580781454e-15
47634.54,-21.53567886789964,28.647889756541154,24.44621860523634,-28.647889756541158,28.08407280352355,-28.64788975654116,1.3425188463569475,-28.64788975654116,-11.459155902616459,0.0,2.621064716957444e-15,7.904761543086637e-16,-11.459155902616464,0.0,2.824198670079972e-15,2.0842902855769572e-15,-11.459155902616464,0.0,3.64113765963863e-15,5.892430637939086e-15,-11.459155902616464,0.0,4.557209671979744e-16,1.0101092586315562e-15
47634.574,-21.459450012359426,28.647889756541158,24.519047746744018,-28.647889756541158,28.084736618927614,-28.64788975654116,1.3350676024431964,-28.64788975654116,-11.45915590261646,0.0,1.884297744005596e-15,5.682776257364035e-16,-11.459155902616464,0.0,3.7182352155376745e-15,1.4984076728652584e-15,-11.459155902616464,0.0,2.617633755199751e-15,4.2361005762065464e-15,-11.459155902616464,0.0,3.276202929411047e-16,1.0380479006771094e-15
47634.607,-21.481072673968054,28.647889756541158,24.437743433287306,-28.647889756541154,28.097271734457962,-28.64788975654116,1.3293432554349232,-28.64788975654116,-11.459155902616459,0.0,4.731255766934857e-15,1.1376692303222555e-15,-11.459155902616462,0.0,5.426410029295231e-15,1.4984076728652584e-15,-11.459155902616464,0.0,6.603374987300716e-15,2.7193839366023955e-15,-11.459155902616464,0.0,2.1031732979457258e-16,6.663795478276981e-16
47634.64,-21.481072673968054,28.647889756541158,24.437743433287306,-28.647889756541154,28.097271734457962,-28.64788975654116,1.3293432554349232,-28.64788975654116,-11.459155902616459,0.0,4.731255766934857e-15,1.1376692303222555e-15,-11.459155902616462,0.0,5.426410029295231e-15,1.4984076728652584e-15,-11.459155902616464,0.0,6.603374987300716e-15,2.7193839366023955e-15,-11.459155902616464,0.0,2.1031732979457258e-16,6.663795478276981e-16
