Timestamp_LSL,Thumb_CMC,Thumb_MCP,Thumb_IP,Index_MCP,Index_PIP,Index_DIP,Middle_MCP,Middle_PIP,Middle_DIP,Ring_MCP,Ring_PIP,Ring_DIP,Pinky_MCP,Pinky_PIP,Pinky_DIP
76530.6,150.01069789473829,132.26912399469134,138.4336566494405,174.87888291377737,177.18374784481443,179.19306915442644,176.2412404495833,174.97518544488042,178.49048836008208,177.34160855722638,174.68249634660083,176.55321238605768,168.2181074911156,177.38842478391695,175.18736938271857
76530.633,150.59886704630878,135.63191206271424,134.6215773942277,174.7843229407576,177.1961618744177,178.96430552722813,176.0551012411453,175.47726063300482,178.2989445533649,177.2762211910663,174.93446827463612,176.4308170477255,168.45993887454205,176.9804471682255,175.1432169700107
76530.665,152.6938825825414,143.36913069404383,122.44253342603264,174.85258533187894,177.73310834994646,178.92269955754463,176.00646792511742,176.28581488997793,178.0818836187481,177.2203190982467,175.57961508666077,176.4415250584644,168.11138532687255,176.70937962509666,175.25029171063937
76530.696,151.45101939302447,154.7383957320436,104.60054919281094,173.3346981009946,177.90839617510468,178.40961264526,175.423186229863,177.1342647448966,177.96650172742432,176.31192451567827,177.26518706812894,176.32960606536048,169.56260868053045,176.37975591565703,175.0042434693326
76530.729,151.16619692482843,162.69219231109363,101.13798668263296,172.95992835344563,177.66971035152096,178.32010101926664,174.43947918744126,177.80724705609794,178.06357977854842,176.50493068312852,176.19331502006884,176.42139927375322,168.41239921662813,176.60499729686276,174.78104022232478
76530.761,156.43996131695525,169.65370826477488,127.4610905676653,172.1237054379373,177.14830416728483,177.6709722145239,174.4262336688527,177.74289523202742,177.62743177041048,176.3319924837452,175.62963423637652,175.91056696073082,168.0916695696033,175.95436243115654,173.83926335585713
76530.793,157.10489255263437,172.30677193981344,140.18154963272022,171.31059090515325,176.36962418343114,176.75170178047955,173.7635879636433,177.6799254181803,177.29951049362245,176.8205478388013,175.45915476867285,175.7081402873633,166.14375855193404,175.2228107309866,173.64145110333052
76530.858,159.34516280085163,172.48882956446113,147.91375081051467,159.82484885733572,118.6067528420912,142.0867761083217,172.4847487143612,175.5041011686167,176.25377183514826,175.60119657200462,174.88045777917628,174.14806958689476,164.99860502646538,170.51797558338504,173.8340505075608
76530.89,160.63076601441384,172.26968772120415,149.2491663389568,159.48974014400818,106.4381328730883,143.49635952902656,173.3456767917997,173.43811611898948,176.8277939526634,176.51911156062866,173.5548679139115,174.95632138777626,164.71208103129482,170.48333256693903,174.43708514366938
76530.937,160.980668355108,172.86080812404836,147.14592820231826,162.2297795856184,107.10618697445105,138.42487841766672,173.69700082136987,171.975018649812,176.654395513301,176.5548393943419,173.5448201811242,175.0636436625129,163.83934748123883,170.98580328530417,174.2225923958913
76530.943,161.2396018397379,172.82615113061996,147.48818143056255,162.4393728812886,107.98190060707829,137.541037579942,173.94188799986838,171.88114266166292,176.58846202714784,176.57618686299932,173.53141790950033,175.1447713800314,164.1076090519253,171.22901955506978,174.33326861078586
76530.97,157.70718878623944,174.22680311680372,154.2011801634843,170.74306235975712,171.33388999323194,176.61943788737275,175.40558730962087,174.78619700407825,176.5637751568929,175.37546997444434,175.2397261942271,174.90840106941437,162.44044998119193,175.03521286816408,173.9466042234699
76531.002,154.43887811262738,175.75541420043297,149.3335168645308,172.68959020964755,175.95548339092227,178.00084601251638,173.95187925841856,174.1610386185518,176.04534485740183,173.93707945828777,176.74349850344035,174.3040360796157,162.5349115926526,175.58531574734994,172.77329177513025
76531.032,148.25249357163986,175.95400271776938,152.08772486109112,172.5450251394767,175.52674039187582,179.1680066598933,165.59494870415284,158.48646444041648,171.93837266715536,172.24135721933635,173.03652001630087,174.10320446087658,162.22886098951196,173.90296639854967,172.11495816267262
76531.064,145.9582629672933,175.60619506512356,151.4820699568708,169.32478303485362,173.92297463464791,174.20974257820103,158.7408605682055,109.4372021877953,139.98468162777377,169.82989406504075,169.236300625625,171.55824251716174,163.0274769230424,174.83182140384454,172.79942401025912
76531.096,146.80304035970514,175.14062191238182,149.47739962820228,166.01581504786427,170.2080289283751,175.05309223267687,154.99748222623575,86.94609975730224,147.50994975399075,168.34381147289332,164.84812616823808,168.75172831783198,165.34744669511062,175.4534422362448,171.4776182491618
76531.129,148.38062479329832,173.76200440926598,155.47198483868502,166.84924726496416,170.48327268593295,174.54812847759212,146.46151324268743,78.06506458019122,155.33870306846777,162.76339055186213,163.40721625510622,164.6362815001302,168.10135295701107,175.67602697163383,170.3033577742821
76531.16,149.10012496942844,172.59965716667708,156.2232524316944,168.94863742871766,173.91459141284207,175.82610460336403,130.91728660499786,83.48886714192938,161.40840185881865,154.86558456906974,155.12645282665287,161.83336834191536,168.71170600521924,172.22547464653525,168.9910364372703
76531.193,149.1031339578206,173.34079941010782,155.62628729777487,169.86912050582535,176.08123453991394,177.1371604339527,131.73651017997736,83.21350922966465,162.07809830954668,152.84014624350957,143.55976093063896,157.80879013437217,166.57235566432945,172.03916832944773,169.030508633835
